spendable income (x 1000 euros),Households total,Single persion,Single person under AOW pension age,Single person above AOW entitlement age,Couple without children,Couple under AOW pension age without children,Couple above AOW entitlement age without children,Couple with children,Single-parent family,Under 25 yrs,25 to 34 yrs,35 to 44 yrs,45 to 54 yrs,55 to 64 yrs,65 to 74 yrs,75 yrs and over,Sole earner,Two earners,Three earners,Four or more earners,Wages,Profits,Pensions,Benefits,Private home owner,Tenant,Tenant without rent benefit,Tenant with rent benefit
less than -6,4,2,1,1,1,1,0,1,0,0,0,1,1,1,1,0,2,1,0,0,1,2,1,0,3,1,1,0
between -6 and -4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
between -4 and -2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
between -2 and 0,21,19,19,0,1,1,0,0,0,15,3,1,1,1,0,0,20,1,0,0,7,2,0,12,1,20,19,1
between 0 and 2,38,35,32,2,2,2,0,0,0,26,5,2,1,1,1,2,37,1,0,0,22,4,2,10,1,36,29,7
between 2 and 4,43,39,36,3,2,2,0,1,0,26,6,2,2,2,1,3,41,2,0,0,24,4,6,9,3,40,28,12
between 4 and 6,50,44,41,4,3,3,0,1,1,25,8,4,4,4,1,3,47,2,0,0,25,5,8,11,5,44,31,13
between 6 and 8,48,42,38,4,3,3,0,1,1,23,8,3,4,5,2,3,45,3,0,0,24,6,10,8,7,40,27,13
between 8 and 10,50,44,39,5,3,3,0,1,1,22,9,4,4,5,2,4,47,3,0,0,25,7,10,8,7,43,29,14
between 10 and 12,50,43,37,6,4,3,0,1,2,19,10,4,4,6,3,4,46,4,0,0,24,8,10,9,7,44,28,16
between 12 and 14,60,52,45,7,4,4,1,2,3,17,13,6,7,8,4,5,56,4,0,0,24,8,11,17,7,53,34,19
between 14 and 16,89,78,66,13,5,4,1,2,3,16,18,11,12,16,7,9,83,5,0,0,27,9,18,36,9,81,46,34
between 16 and 18,199,186,156,30,6,4,2,2,5,17,29,24,35,58,17,20,192,7,1,0,33,9,38,119,11,188,52,136
between 18 and 20,285,266,192,74,9,6,3,3,7,14,38,33,44,70,40,45,274,11,1,0,48,10,85,142,17,268,63,205
between 20 and 22,295,264,117,148,15,9,6,3,11,16,33,21,25,36,69,94,277,17,1,0,78,10,162,45,24,270,87,184
between 22 and 24,363,299,129,171,34,20,14,5,24,18,49,29,31,43,77,117,324,37,1,0,113,10,192,47,39,324,115,209
between 24 and 26,307,217,120,98,47,17,29,8,33,16,56,33,31,36,58,77,251,54,2,0,117,10,135,45,66,241,121,120
between 26 and 28,298,185,109,76,65,18,47,13,33,13,54,34,31,36,54,77,218,77,3,0,116,10,132,40,88,210,118,91
between 28 and 30,317,178,110,68,91,20,71,17,30,11,55,35,32,37,63,85,207,105,5,0,127,11,147,32,104,213,124,90
between 30 and 32,298,161,103,58,87,22,65,18,30,8,52,37,33,37,61,71,189,102,6,1,129,13,131,25,119,179,115,64
between 32 and 34,274,138,93,44,85,24,61,19,31,6,47,36,34,37,55,59,165,101,7,1,128,14,113,19,134,140,96,45
between 34 and 36,261,122,86,37,87,27,60,20,30,5,43,35,34,38,55,51,149,103,8,2,127,15,105,15,148,114,81,33
between 36 and 38,252,112,76,36,88,30,59,21,28,4,38,34,34,38,57,47,136,105,8,2,122,15,102,12,157,94,70,24
between 38 and 40,235,97,66,31,87,33,54,23,26,4,34,32,33,37,54,41,119,105,9,2,117,15,92,10,153,81,63,18
between 40 and 42,215,79,55,23,84,35,48,25,24,3,30,31,32,37,47,34,98,105,10,2,112,15,78,9,143,72,57,14
between 42 and 44,199,62,46,16,83,38,44,28,23,3,28,29,32,36,43,28,79,107,10,2,109,15,67,8,135,63,52,11
between 44 and 46,191,51,39,12,84,41,43,31,22,3,27,29,32,36,40,24,66,111,11,3,108,16,61,6,132,59,49,9
between 46 and 48,186,41,32,9,86,44,42,35,20,3,26,29,31,36,38,22,55,116,13,3,108,16,56,6,132,54,46,8
between 48 and 50,182,35,28,7,85,47,39,39,19,3,27,29,32,36,36,20,46,119,14,3,110,16,51,5,132,50,44,6
between 50 and 52,176,28,23,6,84,49,35,44,17,3,28,29,31,36,33,17,38,119,15,4,111,16,45,4,130,46,41,5
between 52 and 54,171,23,19,5,80,50,30,48,15,3,29,29,31,35,30,14,32,119,16,4,111,16,40,4,129,42,38,4
between 54 and 56,167,19,15,4,78,51,26,52,14,3,30,29,31,35,27,12,26,118,18,5,113,17,34,3,128,39,35,4
between 56 and 58,162,15,12,3,74,51,23,57,13,2,31,30,31,33,24,10,21,117,19,5,113,16,30,3,127,35,32,3
between 58 and 60,159,13,10,3,71,51,20,61,11,2,32,31,31,33,22,9,18,115,20,6,114,17,26,2,127,32,29,2
between 60 and 62,154,11,8,2,67,49,17,63,10,2,32,31,31,31,19,8,15,112,21,7,113,17,23,2,126,28,26,2
between 62 and 64,149,9,7,2,62,47,15,66,9,2,31,32,31,31,17,6,12,108,22,8,111,17,20,2,124,26,24,2
between 64 and 66,143,7,6,2,58,45,13,66,8,1,29,31,31,30,16,6,11,102,22,9,107,17,17,1,120,23,22,1
between 66 and 68,137,6,5,1,53,42,12,66,7,1,27,31,31,28,14,5,9,95,23,9,103,17,15,1,116,20,19,1
between 68 and 70,129,5,4,1,48,38,10,65,6,1,25,29,30,27,12,4,8,88,23,10,98,17,13,1,111,18,17,1
between 70 and 72,121,5,4,1,43,35,9,64,6,1,22,29,30,26,11,4,7,81,23,11,93,16,11,1,105,16,15,1
between 72 and 74,114,4,3,1,39,32,8,63,5,0,19,27,29,25,10,3,6,74,22,11,87,16,10,1,100,14,14,1
between 74 and 76,106,4,3,1,35,28,6,60,4,0,17,25,28,24,9,3,5,67,22,12,81,15,8,1,93,12,12,1
between 76 and 78,98,3,3,1,31,26,6,57,4,0,15,23,27,23,8,2,5,61,21,12,75,15,7,1,87,11,11,0
between 78 and 80,91,3,2,1,28,23,5,54,3,0,13,22,26,21,7,2,4,54,20,13,70,14,6,0,81,10,9,0
between 80 and 82,85,2,2,0,25,21,4,52,3,0,11,20,25,21,6,2,4,49,19,13,66,14,6,0,76,9,8,0
between 82 and 84,79,2,2,0,22,19,4,49,3,0,10,18,24,19,6,2,3,45,18,13,60,13,5,0,71,8,8,0
between 84 and 86,73,2,2,0,20,16,3,46,2,0,8,17,23,18,5,1,3,40,17,13,56,13,4,0,66,7,7,0
between 86 and 88,67,2,1,0,17,14,3,43,2,0,7,15,22,17,5,1,3,35,16,13,51,12,4,0,61,6,6,0
between 88 and 90,62,2,1,0,16,13,3,40,2,0,6,14,20,16,4,1,2,32,15,13,47,11,3,0,56,5,5,0
between 90 and 92,57,1,1,0,14,12,2,38,2,0,6,13,19,15,4,1,2,28,14,13,43,11,3,0,52,5,5,0
between 92 and 94,52,1,1,0,12,10,2,35,1,0,5,12,18,14,3,1,2,26,12,12,39,10,3,0,48,4,4,0
between 94 and 96,48,1,1,0,11,9,2,32,1,0,4,10,17,13,3,1,2,23,11,12,36,10,2,0,44,4,4,0
between 96 and 98,45,1,1,0,10,8,2,30,1,0,4,9,15,12,3,1,2,21,11,11,33,9,2,0,41,4,3,0
between 98 and 100,41,1,1,0,9,7,2,28,1,0,3,8,14,11,3,1,2,19,10,11,30,9,2,0,37,3,3,0
between 100 and 102,37,1,1,0,8,7,1,25,1,0,3,7,13,10,2,1,2,16,9,10,27,8,2,0,34,3,3,0
between 102 and 104,34,1,1,0,7,6,1,24,1,0,3,7,12,10,2,0,1,15,8,10,25,8,2,0,32,3,2,0
between 104 and 106,32,1,1,0,7,5,1,22,1,0,2,6,12,9,2,0,1,14,7,9,23,7,2,0,29,2,2,0
between 106 and 108,29,1,1,0,6,5,1,20,1,0,2,6,11,8,2,0,1,13,7,9,21,7,1,0,27,2,2,0
between 108 and 110,27,1,1,0,5,4,1,18,1,0,2,5,10,8,2,0,1,11,6,8,19,6,1,0,25,2,2,0
between 110 and 112,24,1,1,0,5,4,1,17,1,0,2,5,9,7,2,0,1,10,5,8,17,6,1,0,23,2,2,0
between 112 and 114,22,1,1,0,4,4,1,15,0,0,1,4,8,7,1,0,1,9,5,7,15,6,1,0,21,1,1,0
between 114 and 116,21,1,0,0,4,3,1,14,0,0,1,4,8,6,1,0,1,9,4,7,14,6,1,0,19,1,1,0
between 116 and 118,19,1,0,0,4,3,1,13,0,0,1,4,7,6,1,0,1,8,4,6,13,5,1,0,18,1,1,0
between 118 and 120,17,1,0,0,3,3,1,12,0,0,1,3,6,5,1,0,1,7,3,6,12,5,1,0,16,1,1,0
between 120 and 122,16,1,0,0,3,3,1,11,0,0,1,3,6,5,1,0,1,7,3,5,11,5,1,0,15,1,1,0
between 122 and 124,15,0,0,0,3,2,1,10,0,0,1,3,6,4,1,0,1,6,3,5,10,4,1,0,14,1,1,0
between 124 and 126,14,0,0,0,3,2,1,10,0,0,1,3,5,4,1,0,1,6,3,5,9,4,1,0,13,1,1,0
between 126 and 128,13,0,0,0,2,2,0,9,0,0,1,2,5,4,1,0,1,5,2,4,8,4,1,0,12,1,1,0
between 128 and 130,12,0,0,0,2,2,0,8,0,0,1,2,4,3,1,0,1,5,2,4,7,4,1,0,11,1,1,0
between 130 and 132,11,0,0,0,2,2,0,8,0,0,1,2,4,3,1,0,1,5,2,4,7,3,0,0,10,1,1,0
between 132 and 134,10,0,0,0,2,2,0,7,0,0,1,2,4,3,1,0,1,4,2,3,6,3,0,0,9,1,1,0
between 134 and 136,9,0,0,0,2,1,0,7,0,0,1,2,3,3,1,0,0,4,2,3,6,3,0,0,9,1,1,0
between 136 and 138,9,0,0,0,2,1,0,6,0,0,1,2,3,3,1,0,0,4,2,3,5,3,0,0,8,1,0,0
between 138 and 140,8,0,0,0,2,1,0,6,0,0,0,2,3,2,1,0,0,3,2,3,5,3,0,0,8,0,0,0
more than 140,159,8,7,2,37,29,8,102,3,0,7,30,60,46,12,3,15,74,29,41,81,63,15,0,150,9,9,0
